customar_name,total_amount,profit,percentage
New Sunlight Battery-Sorop Ali,151500,6000,3.9603960396039604
Jamuna Motors - Konabari,87000,5096,5.857471264367816
Sagor Battery - Ranisankail,120500,4900,4.066390041493776
Helal Enterprize - Joypurhat,138100,4800,3.4757422157856626
Mr. Rajib,125000,2500,2.0
New Power Sine - Patiya,47900,2200,4.592901878914405
Matrix Power - Jessore,24000,2000,8.333333333333332
Babul Battery - Sagordighi,41500,2000,4.819277108433735
R Haque Battery - Bhola,87500,1980,2.262857142857143
Esham Auto - Nilphamary,9000,1800,20.0
Perfect Sales Center - Kadamtoli,32000,1600,5.0
Bhai Bhai Battery House - Gouronodi,45000,1500,3.3333333333333335
Maria Enterprize - Jindabazar,96000,1200,1.25
Biddut Battery - Gaibandha,23300,1100,4.721030042918455
MN Enterprize - Court Bazar,64000,800,1.25
Champion Battery - Panchagarh,16400,600,3.6585365853658534
Bismillah Auto - B-Baria,16000,600,3.75
Mr. Shohag,7800,400,5.128205128205128
Deluxe Battery - Bogura,8000,100,1.25
Omar Sound - Nabiganj,28000,-3600,-12.857142857142856
Borsha Electric - Nowapara,120000,-3800,-3.166666666666667
Jewel Automobiles - Tangail,162000,-6600,-4.074074074074074
